Tweet_id,sentiment,Text
1221884257490042887,neutral,الزعل بيغير ملامحك  بيغير نظرة العين  بيغير شكلك في الصور  الزعل ممكن يطفيك تماما.
1221884400377499651,neutral,@halgawi @DmfMohe ليس حباً في ايران بقدر ماهو نكايه بترامب وحزبه
1221881406168731649,neutral,@adalfahadduwail أبي أعرف الحاكم العربي المسلم أشلون ينام مايخاف الله وهو يسمح في بلده الدعاره والمراقص
1221882047691657217,neutral,@sarmadbouchamou @DimaSadek في الخطاب تبع سليم سعاده حطت عالتويتر شو قال قامو هجمو عليا الهجمة اللقيمة انو هيي اهانت ومدري شو
1221880371773673474,neutral,@FofaMahmouddd مفيش الكلام ده في الزمن
1226410076623245313,neutral,@elm عندي مشكله لما تبي اجدد إقامة عامل حاولت أتواصل بس يفصل معي الخط من قبل مقيم
1221882386792747008,neutral,الرئاسة الفلسطينية تدعو السفراء العرب والمسلمين لعدم المشاركة في مراسم الإعلان عن الخطة الأميركية للسلام #lebanon24
1221882659066064896,neutral,@Hamed_Alali التجنيس يضر اهل السنه في سوريا تتغير التركيبة السكانيه
1221884599611072512,neutral,سوّف تبحثُ عني في شخصٍ آخر
1221883147509551104,neutral,@Beethoven_7 كل ما أملكه في تلك الحياة هو كرامتي وكلمتي  ولن أخسرهم أمام أي شخص. - آل باتشينو
1221883899988541442,neutral,إن كان لك نصيب في شيء سيقلب الله كل الموازين لكي تحصل عليه.💛
1221881299369103361,neutral,المؤكد ان هذا الوزيز هو معمر العرياني ... والمؤكد أنهم بيدخلوها من جحانه لكن مربطين .. https://t.co/mUMIPcvH1v
1221884808290283522,neutral,الاتحادالافريقي لكرة القدم #caf #fifa دى جماهير الهلال السودانى https://t.co/V3vADpAKVl
1221882697955659776,neutral,@mounirhafi في واحد كان معبى الكراسي وزراء وطلع افشل واحد بالتاريخ بأحد البلدان
1221885170153852929,neutral,لاغاب نور القمر في عتمة الليل ينشاف نور البدر في وجه خلي .
1221867394962001921,neutral,عطيتـك قلب م عطيتـه لأحد غيـرك غلطه و في ذمتي م كنـت قاصدهـا
1221883191054807040,neutral, الغريب في الأمر أنك مازلت تنتظر رغم كُل هذه الخيبة علي وجهك.
1221881239885565952,neutral,@almobark_ عقبال القمة دنيا باطما تتاجر فبات المغرب وتاجر فيهم وتبتعد الخليجيين فحساب حمزة كون بيبي المرجو تدعمنا كلكم حتى تسجل هاذه الزبالة
1223405995336044545,neutral,التّفاؤل هُو الميزّة الأكثَر ارتباطًا بالنّجاح والسّعادة أكثَر من أي شيء آخر 🌹
1221882629684912128,neutral,لكي ترتاح في حياتك تعلم أن تختصر في كل شيء .. الكلام  المشاعر  والناس أحياناً .☕🕊. #شعاااع -#الأمل
1221858631169314817,neutral,بانتظار @a_albatterjee اتمنى تعطي الامير منصور كل الوثائق واتمنى الاعلام يكون خلف الامير منصور في هذي القضية
1213619904999501824,neutral,مساعد الرشيدي الله يرحمه يقول : تلحفي في جو لندن وباريس واليا امطرت نجد العذية  تعالي
